,gen,nevals,max,avg,min,std
282,12,100,[59.04822698],[47.40860843],[-5.12485394],[12.1434326]
283,13,100,[54.43595791],[49.2699154],[-5.02224976],[7.50295562]
284,14,100,[50.69298953],[48.00054508],[1.22840579],[9.95434702]
285,15,100,[50.69298953],[48.97156178],[-5.04224976],[8.80800983]
286,16,100,[50.69298953],[49.48348228],[1.38840579],[5.66717652]
287,17,100,[50.69298953],[48.85460805],[1.24840579],[8.61018716]
288,18,100,[50.69298953],[49.62849786],[1.40840579],[6.88888245]
289,19,100,[52.91756146],[49.33609826],[1.28840579],[7.07954864]
290,20,100,[59.81316706],[48.72080796],[1.16840579],[9.7407636]
291,21,100,[53.92893697],[48.30262836],[1.22840579],[9.51376532]
292,22,100,[53.97326739],[46.39329267],[-3.6108362],[13.34398422]
293,23,100,[53.49298953],[49.33980906],[-4.84224976],[7.53895809]
294,24,100,[51.20284508],[46.40954838],[-4.86224976],[13.32546389]
295,25,100,[59.66672279],[47.38550544],[-5.02224976],[11.75834965]
296,26,100,[50.69298953],[48.68486921],[-4.84224976],[9.10950587]
297,27,100,[53.6104262],[45.48696999],[-4.86224976],[14.8276207]
298,28,100,[51.19612918],[47.31394556],[-3.4708362],[11.47679185]
299,29,100,[54.03913059],[47.81603482],[-3.51997105],[10.80898238]
