,gen,nevals,max,avg,min,std
103,13,100,[54.01816182  1.        ],[42.50905343  0.83      ],[-3.68355439  0.        ],[16.69751631  0.3756328 ]
104,14,100,[53.84249281  1.        ],[42.84104316  0.8       ],[-3.76872245  0.        ],[16.51620999  0.4       ]
105,15,100,[54.07935871  1.        ],[44.04917403  0.85      ],[-3.84355439  0.        ],[16.04548617  0.35707142]
106,16,100,[56.5687993  1.       ],[31.56061839  0.44      ],[-3.84620461  0.        ],[19.0276387   0.49638695]
107,17,100,[53.79694573  1.        ],[31.48599793  0.48      ],[-3.89912273  0.        ],[20.22022482  0.49959984]
108,18,100,[54.00835255  1.        ],[38.03894309  0.57      ],[-3.57925213  0.        ],[16.54530539  0.49507575]
109,19,100,[54.15816182  1.        ],[35.08813497  0.51      ],[-3.71912273  0.        ],[16.20204547  0.49989999]
110,20,100,[54.13175675  1.        ],[39.15862027  0.56      ],[-1.12620461  0.        ],[14.15491718  0.49638695]
111,21,100,[54.13397159  1.        ],[39.47216128  0.53      ],[-3.38872245  0.        ],[13.82073469  0.49909919]
112,22,100,[56.60991227  1.        ],[42.75327619  0.65      ],[7.97379539 0.        ],[13.04748832  0.4769696 ]
113,23,100,[56.66991227  1.        ],[43.11027931  0.61      ],[13.58896439  0.        ],[12.28629101  0.48774994]
114,24,100,[56.66991227  1.        ],[44.02271304  0.67      ],[1.70896439 0.        ],[13.13589251  0.47021272]
115,25,100,[56.87916058  1.        ],[41.4919395  0.59     ],[7.92215138 0.        ],[12.2827545   0.49183331]
116,26,100,[56.5687993  1.       ],[45.08513573  0.77      ],[7.63906 0.     ],[12.22959378  0.42083251]
117,27,100,[56.99397159  1.        ],[45.92874579  0.77      ],[13.60206443  0.        ],[10.90316666  0.42083251]
118,28,100,[56.6687993  1.       ],[42.18152098  0.6       ],[10.84356082  0.        ],[12.35867811  0.48989795]
119,29,100,[56.96527529  1.        ],[45.05944925  0.75      ],[4.94215138 0.        ],[11.99643902  0.4330127 ]
120,0,100,[50.88042539  1.        ],[49.50253845  0.97      ],[16.21829708  0.        ],[5.30201541 0.17058722]
121,1,100,[51.11223803  1.        ],[31.67473599  0.6       ],[-5.19401405  0.        ],[23.0372802   0.48989795]
122,2,100,[53.8360168  1.       ],[40.61704925  0.82      ],[-5.4740272  0.       ],[14.31437967  0.38418745]
123,3,100,[54.1441129  1.       ],[40.41887585  0.81      ],[-4.60112984  0.        ],[13.17121504  0.3923009 ]
124,4,100,[56.74990481  1.        ],[32.14346992  0.62      ],[-5.62090646  0.        ],[19.51885344  0.48538644]
125,5,100,[60.21244403  1.        ],[47.83908432  0.97      ],[5.0123023 0.       ],[7.54828088 0.17058722]
126,6,100,[59.8688137  1.       ],[40.88907656  0.89      ],[-4.87473717  0.        ],[11.15189243  0.31288976]
127,7,100,[54.29431415  1.        ],[41.69268677  0.92      ],[4.27860323 0.        ],[9.30882301 0.2712932 ]
128,8,100,[65.77305235  1.        ],[41.78093851  0.88      ],[-4.73635619  0.        ],[12.27121823  0.32496154]
129,9,100,[65.68649439  1.        ],[43.66234885  0.93      ],[0.86418526 0.        ],[13.10518001  0.25514702]
130,10,100,[65.79255313  2.        ],[47.7035917  0.97     ],[0.00052976 0.        ],[10.39601282  0.2215852 ]
131,11,100,[65.61163981  2.        ],[43.65709069  0.89      ],[-4.64241364  0.        ],[14.92476606  0.34336569]
132,12,100,[65.38228706  1.        ],[48.09729681  0.95      ],[0.97775024 0.        ],[11.8833057   0.21794495]
133,13,100,[68.12275134  2.        ],[45.12302701  0.9       ],[1.22816367 0.        ],[15.85074681  0.38729833]
134,14,100,[65.65984612  2.        ],[46.28762101  0.91      ],[0.49043453 0.        ],[17.04214974  0.40236799]
135,15,100,[66.13606884  1.        ],[45.01356304  0.86      ],[1.02951499 0.        ],[17.8294264   0.34698703]
136,16,100,[68.06661012  2.        ],[45.53476349  0.82      ],[1.36743538 0.        ],[18.97562214  0.40938979]
137,17,100,[65.62848129  2.        ],[45.80304907  0.85      ],[0.01128771 0.        ],[18.32928124  0.40926764]
138,18,100,[65.87587518  2.        ],[48.98457587  0.95      ],[0.18608885 0.        ],[14.77221035  0.32787193]
139,19,100,[68.43613132  2.        ],[51.65451842  0.98      ],[0.90879059 0.        ],[13.86881645  0.31559468]
140,20,100,[66.22093252  1.        ],[48.46518784  0.9       ],[0.10695376 0.        ],[16.48672834  0.3       ]
141,21,100,[66.03570013  2.        ],[52.20116217  0.96      ],[3.96469322 0.        ],[11.97714989  0.28      ]
142,22,100,[66.20315861  2.        ],[54.14573654  0.98      ],[18.83146963  0.        ],[9.67481637 0.19899749]
143,23,100,[66.22864697  2.        ],[54.47256837  1.02      ],[1.34033067 0.        ],[10.97256614  0.24413111]
144,24,100,[66.19483351  2.        ],[57.31003761  1.01      ],[10.41839606  0.        ],[9.38145729 0.26438608]
145,25,100,[66.24237889  2.        ],[58.46293283  1.01      ],[16.20607797  0.        ],[8.70394803 0.22338308]
146,26,100,[66.10100765  2.        ],[58.09432081  1.        ],[12.87898789  0.        ],[8.27705718 0.14142136]
147,27,100,[66.24862597  2.        ],[59.60312773  1.01      ],[41.16172204  1.        ],[5.52746937 0.09949874]
148,28,100,[68.33934669  2.        ],[60.26600174  1.04      ],[29.54566934  1.        ],[7.13033394 0.19595918]
149,29,100,[68.08765289  2.        ],[60.5944079  1.08     ],[41.11146439  1.        ],[5.45194499 0.2712932 ]
150,0,100,[44.65342358  1.        ],[35.47976336  0.86      ],[-5.52657078  0.        ],[13.32808489  0.34698703]
151,1,100,[44.73342358  1.        ],[40.22504891  0.95      ],[-5.49097505  0.        ],[9.36308929 0.21794495]
152,2,100,[44.73342358  1.        ],[41.66916699  0.98      ],[3.51977656 0.        ],[4.64633865 0.14      ]
153,3,100,[68.34394595  2.        ],[40.48418181  0.96      ],[-5.49830135  0.        ],[8.14813573 0.24166092]
154,4,100,[65.27939387  1.        ],[45.6144717  1.       ],[35.52680825  1.        ],[5.3154875 0.       ]
155,5,100,[59.57627849  1.        ],[42.66819576  0.98      ],[0.39564228 0.        ],[7.66097825 0.14      ]
