,gen,nevals,max,avg,min,std
85,25,100,[90.93790385  2.        ],[61.93787742  0.64      ],[16.70223141  0.        ],[20.18859113  0.71442284]
86,26,100,[90.77626986  2.        ],[59.03556506  0.54      ],[12.03069429  0.        ],[22.0288841   0.63906181]
87,27,100,[90.78790385  2.        ],[61.28900696  0.61      ],[17.28459188  0.        ],[21.59665785  0.61473572]
88,28,100,[90.96790385  2.        ],[65.12965422  0.7       ],[25.49077949  0.        ],[18.99348304  0.65574385]
89,29,100,[90.81790385  2.        ],[63.26796458  0.61      ],[20.7640346  0.       ],[18.7042274   0.59824744]
90,0,100,[81.03298653  1.        ],[53.66043465  0.56      ],[-5.53547857  0.        ],[23.57154199  0.49638695]
91,1,100,[81.04459568  1.        ],[58.09359825  0.56      ],[-1.03295968  0.        ],[18.49151188  0.49638695]
92,2,100,[86.12958729  2.        ],[56.6139103  0.61     ],[-5.54296001  0.        ],[24.72734741  0.56382621]
93,3,100,[85.61958729  2.        ],[60.07015975  0.62      ],[7.96535445 0.        ],[18.47682331  0.50556899]
94,4,100,[85.76958729  2.        ],[56.41196303  0.56      ],[-5.54296001  0.        ],[20.31144797  0.51613952]
95,5,100,[86.12958729  2.        ],[56.04159604  0.51      ],[30.54490722  0.        ],[17.87487864  0.53842363]
96,6,100,[85.79792891  2.        ],[57.66931052  0.57      ],[3.47350055 0.        ],[18.63966624  0.51487863]
97,7,100,[86.09958729  2.        ],[62.12667679  0.65      ],[30.59071122  0.        ],[17.25315347  0.49749372]
98,8,100,[85.91958729  2.        ],[62.06607596  0.65      ],[30.58398849  0.        ],[17.45738331  0.51720402]
99,9,100,[86.00958729  2.        ],[58.60583671  0.55      ],[30.5817413  0.       ],[18.34572481  0.51720402]
100,10,100,[85.97958729  2.        ],[61.29921143  0.61      ],[34.8217063  0.       ],[17.46856521  0.52716221]
101,11,100,[86.17992908  2.        ],[57.84474149  0.53      ],[34.66557414  0.        ],[18.21783671  0.55596762]
102,12,100,[86.20648079  2.        ],[62.00958378  0.62      ],[34.82625179  0.        ],[16.79952616  0.54369109]
103,13,100,[86.23648079  2.        ],[70.23099797  0.89      ],[25.9408592  0.       ],[14.3550428   0.58129167]
104,14,100,[85.93648079  2.        ],[61.92989314  0.6       ],[-5.55136459  0.        ],[19.26883328  0.52915026]
105,15,100,[87.60835828  2.        ],[64.84395683  0.7       ],[30.57391599  0.        ],[16.4770563   0.59160798]
106,16,100,[88.27806933  2.        ],[69.21974962  0.8       ],[21.50815937  0.        ],[16.80912977  0.6164414 ]
107,17,100,[88.22629035  2.        ],[78.28528407  1.13      ],[7.9535729 0.       ],[9.50498397 0.48280431]
108,18,100,[88.42332996  2.        ],[77.64394031  1.1       ],[34.95384695  0.        ],[8.48061183 0.5       ]
109,19,100,[87.60496147  2.        ],[78.23439057  1.09      ],[34.95714729  0.        ],[9.00352973 0.60158125]
110,20,100,[88.39569403  2.        ],[79.31535661  1.18      ],[61.82397388  0.        ],[5.50275125 0.45563143]
111,21,100,[88.36919803  2.        ],[78.67951801  1.1       ],[48.32672988  0.        ],[6.66779446 0.5       ]
112,22,100,[88.39569403  2.        ],[79.5743469  1.19     ],[34.96278975  0.        ],[8.52021601 0.54212545]
113,23,100,[88.28391504  2.        ],[79.89726523  1.29      ],[44.00629544  0.        ],[8.24912756 0.60489669]
114,24,100,[88.45332996  2.        ],[80.13016579  1.26      ],[44.08375147  0.        ],[6.54220191 0.48207883]
115,25,100,[88.3254927  2.       ],[79.91025688  1.09      ],[61.64126748  0.        ],[4.89147819 0.37669616]
116,26,100,[88.42332996  2.        ],[80.90431861  1.21      ],[71.72770963  1.        ],[4.11925721 0.40730824]
117,27,100,[88.43391504  2.        ],[81.58933213  1.23      ],[71.71857695  1.        ],[4.00097029 0.42083251]
118,28,100,[88.43391504  2.        ],[80.94206683  1.22      ],[66.1163402  0.       ],[4.17915866 0.43772137]
119,29,100,[88.42806933  2.        ],[81.24579842  1.24      ],[71.68479873  1.        ],[4.50954891 0.42708313]
120,0,100,[76.47333624  1.        ],[75.16154129  0.93      ],[61.46616386  0.        ],[3.80900402 0.25514702]
121,1,100,[76.48488409  1.        ],[69.40585275  0.6       ],[34.94530825  0.        ],[10.22377917  0.48989795]
122,2,100,[76.48488409  1.        ],[71.07455537  0.72      ],[34.83812577  0.        ],[10.19897439  0.44899889]
123,3,100,[79.63969571  1.        ],[68.6866303  0.66     ],[34.94204026  0.        ],[12.98301452  0.47370877]
124,4,100,[76.48488409  1.        ],[65.20342835  0.48      ],[34.9387935  0.       ],[14.31708775  0.49959984]
125,5,100,[79.63177161  1.        ],[61.60713343  0.41      ],[34.94367158  0.        ],[16.58401195  0.49183331]
126,6,100,[76.48488409  1.        ],[63.62994117  0.43      ],[34.72243874  0.        ],[15.07928357  0.49507575]
127,7,100,[76.48488409  1.        ],[64.55912997  0.37      ],[34.94367158  0.        ],[12.8310059   0.48280431]
128,8,100,[76.48488409  1.        ],[66.93088356  0.38      ],[34.72080208  0.        ],[10.20243674  0.48538644]
129,9,100,[79.6349262  1.       ],[65.23953147  0.24      ],[34.94367158  0.        ],[9.52873768 0.42708313]
130,10,100,[79.63810081  1.        ],[66.50775363  0.34      ],[34.72080208  0.        ],[10.06334752  0.47370877]
131,11,100,[79.6848014  1.       ],[67.11815421  0.23      ],[34.94530825  0.        ],[6.38426183 0.42083251]
132,12,100,[76.48488409  1.        ],[65.83634803  0.19      ],[34.94530825  0.        ],[6.20725741 0.3923009 ]
133,13,100,[79.68831019  1.        ],[66.32658458  0.17      ],[61.58469601  0.        ],[5.08983161 0.3756328 ]
134,14,100,[79.67613567  1.        ],[65.12722926  0.13      ],[34.94530825  0.        ],[6.38928823 0.33630343]
135,15,100,[79.74413017  1.        ],[64.94956082  0.08      ],[34.94530825  0.        ],[5.87650223 0.2712932 ]
136,16,100,[79.74216553  1.        ],[65.75930481  0.11      ],[61.58633267  0.        ],[4.37222373 0.31288976]
137,17,100,[79.75407086  1.        ],[64.92515034  0.07      ],[61.58633267  0.        ],[4.26372107 0.25514702]
138,18,100,[79.75608293  1.        ],[65.50729724  0.09      ],[61.69790444  0.        ],[4.22486946 0.28618176]
139,19,100,[79.75206685  1.        ],[6.45211324e+01 4.00000000e-02],[61.58633267  0.        ],[3.37818088 0.19595918]
140,20,100,[76.48488409  1.        ],[6.50741228e+01 5.00000000e-02],[61.58633267  0.        ],[3.32827332 0.21794495]
141,21,100,[79.75608293  1.        ],[6.45661074e+01 4.00000000e-02],[61.58633267  0.        ],[3.52238226 0.19595918]
142,22,100,[79.75407086  1.        ],[6.46136792e+01 4.00000000e-02],[61.69382279  0.        ],[3.37353504 0.19595918]
143,23,100,[79.75608293  1.        ],[6.45384892e+01 5.00000000e-02],[61.74089924  0.        ],[3.73259865 0.21794495]
144,24,100,[79.75608293  1.        ],[6.44727154e+01 4.00000000e-02],[61.69585945  0.        ],[3.53442782 0.19595918]
145,25,100,[79.75407086  1.        ],[6.40440131e+01 2.00000000e-02],[61.69382279  0.        ],[3.11375189 0.14      ]
146,26,100,[79.75608293  1.        ],[6.43328352e+01 4.00000000e-02],[61.69179439  0.        ],[3.51443505 0.19595918]
147,27,100,[79.75608293  1.        ],[6.43153075e+01 4.00000000e-02],[61.69179439  0.        ],[3.29398289 0.19595918]
148,28,100,[79.75608293  1.        ],[6.4499041e+01 5.0000000e-02],[61.74089924  0.        ],[3.62400443 0.21794495]
149,29,100,[79.75007083  1.        ],[65.11487616  0.08      ],[61.69585945  0.        ],[4.06903581 0.2712932 ]
150,0,100,[86.38473871  2.        ],[63.49249868  0.93      ],[-6.36383008  0.        ],[24.40121903  0.77788174]
151,1,100,[86.36965187  2.        ],[62.13451882  0.86      ],[-6.28909115  0.        ],[25.08146775  0.80024996]
152,2,100,[86.41646583  2.        ],[56.01390936  0.74      ],[-6.01064503  0.        ],[27.80590532  0.71582121]
153,3,100,[86.39965187  2.        ],[54.24954913  0.76      ],[-5.92326107  0.        ],[27.29154943  0.8138796 ]
154,4,100,[86.64639186  2.        ],[58.07055601  0.86      ],[-5.91875654  0.        ],[25.92169847  0.76183988]
155,5,100,[88.82792342  2.        ],[73.25119614  1.26      ],[3.07743785 0.        ],[19.01088406  0.83210576]
156,6,100,[88.99499876  2.        ],[74.41345935  1.29      ],[12.26022777  0.        ],[17.827547    0.76544105]
157,7,100,[88.89488409  2.        ],[64.68011546  0.82      ],[-5.56186366  0.        ],[22.83202853  0.88746831]
158,8,100,[88.92488409  2.        ],[66.15522862  0.8       ],[11.9507535  0.       ],[20.50034668  0.82462113]
159,9,100,[88.98957896  2.        ],[65.3744097  0.8      ],[7.63015278 0.        ],[21.14924664  0.82462113]
160,10,100,[88.99499876  2.        ],[68.2744285  0.92     ],[30.43396254  0.        ],[20.8405071   0.87954534]
161,11,100,[89.16488409  2.        ],[66.58055391  0.82      ],[7.94530825 0.        ],[20.65641089  0.88746831]
162,12,100,[89.91265385  2.        ],[67.44078361  1.07      ],[-1.05860632  0.        ],[25.24044083  0.82770768]
163,13,100,[90.20207677  2.        ],[59.51680697  1.04      ],[-5.56509992  0.        ],[33.78611731  0.92649879]
164,14,100,[89.81959812  2.        ],[53.91750846  0.72      ],[-5.57571948  0.        ],[30.82553367  0.78841613]
165,15,100,[89.78020818  2.        ],[51.68521965  0.74      ],[-5.56671023  0.        ],[32.21094084  0.83210576]
166,16,100,[89.66723405  2.        ],[58.23271919  0.8       ],[-5.56962484  0.        ],[27.49359124  0.83666003]
167,17,100,[90.22194694  2.        ],[48.78381978  0.67      ],[-5.59582262  0.        ],[34.06194752  0.78809898]
168,18,100,[90.21926596  2.        ],[70.31269842  1.16      ],[-5.56962484  0.        ],[24.38421182  0.85697141]
169,19,100,[90.22194694  2.        ],[66.56947747  1.02      ],[-5.55696966  0.        ],[25.01601563  0.8829496 ]
170,20,100,[90.37194694  2.        ],[76.87934291  1.36      ],[21.28628898  0.        ],[16.65623305  0.781281  ]
171,21,100,[90.26150458  2.        ],[70.56968918  1.35      ],[-5.56476256  0.        ],[26.40572207  0.81700673]
172,22,100,[90.37194694  2.        ],[73.95267803  1.44      ],[7.90910353 0.        ],[24.84885999  0.84047606]
173,23,100,[90.42357153  2.        ],[69.34657146  1.31      ],[-1.05696966  0.        ],[28.18054531  0.85667964]
174,24,100,[90.23781492  2.        ],[63.54532613  1.12      ],[-5.56671023  0.        ],[30.86928593  0.88634079]
175,25,100,[90.44391298  2.        ],[68.49290145  1.22      ],[-5.55860632  0.        ],[27.80428044  0.90088845]
176,26,100,[90.42926596  2.        ],[50.51504183  0.83      ],[-5.56761558  0.        ],[35.78761866  0.90614568]
177,27,100,[90.43194694  2.        ],[50.84297686  0.74      ],[-5.56671023  0.        ],[33.91725724  0.85580372]
178,28,100,[90.35656551  2.        ],[51.57004912  0.74      ],[-5.56671023  0.        ],[33.08482203  0.8788629 ]
179,29,100,[90.43194694  2.        ],[53.29009541  0.79      ],[-5.56761558  0.        ],[33.43969337  0.87515713]
180,0,100,[86.34000627  2.        ],[74.99360208  1.        ],[52.52356535  0.        ],[3.25334747 0.14142136]
181,1,100,[87.16086875  2.        ],[62.92731918  0.82      ],[-5.98044398  0.        ],[24.32879006  0.66902915]
182,2,100,[87.49507011  2.        ],[47.76530885  0.77      ],[-5.98095486  0.        ],[36.89068671  0.87011493]
183,3,100,[87.01951458  2.        ],[48.52928242  0.66      ],[-5.79725273  0.        ],[32.19476696  0.83928541]
184,4,100,[87.13293914  2.        ],[45.46843909  0.67      ],[-5.83276748  0.        ],[34.85095005  0.87241045]
185,5,100,[87.4028626  2.       ],[49.64403758  0.78      ],[-5.80349471  0.        ],[34.48868698  0.87840765]
186,6,100,[87.52704447  2.        ],[48.90255924  0.76      ],[-5.96602838  0.        ],[33.90765145  0.84994117]
187,7,100,[87.66850044  2.        ],[44.19533347  0.55      ],[-5.97456657  0.        ],[35.57410493  0.75332596]
188,8,100,[87.85806933  2.        ],[74.86030808  1.3       ],[3.29842238 0.        ],[21.35854662  0.80622577]
189,9,100,[88.01146615  2.        ],[71.18055686  1.15      ],[-5.91093984  0.        ],[24.10541626  0.75332596]
190,10,100,[88.07146615  2.        ],[79.70187025  1.43      ],[34.68205249  0.        ],[12.18985519  0.66715815]
191,11,100,[88.88479378  2.        ],[84.07241771  1.62      ],[68.57011457  0.        ],[4.07713811 0.54369109]
192,12,100,[89.21479378  2.        ],[75.30160742  1.2       ],[-1.18726255  0.        ],[17.41230406  0.77459667]
